season,episode,title,dateAired,yearAired,publishDate
1,1,Everybody's Favorite Bagman,10-30-1990,1990,
1,2,Prescription for Death,09-13-1990,1990,
1,3,Subterranean Homeboy Blues,09-20-1990,1990,
1,4,The Reaper's Helper,10-04-1990,1990,
1,5,Kiss the Girls and Make Them Die,10-11-1990,1990,
1,6,Happily Ever After,10-23-1990,1990,
1,7,By Hooker By Crook,11-13-1990,1990,
1,8,Poison Ivy,11-20-1990,1990,
1,9,Indifference,11-27-1990,1990,
1,10,Prisoner of Love,12-04-1990,1990,
1,11,Out of the Half-Light,12-11-1990,1990,
1,12,Life Choice,01-08-1991,1991,
1,13,A Death in the Family,01-15-1991,1991,
1,14,The Violence of Summer,02-05-1991,1991,
1,15,The Torrents of Greed (1),02-12-1991,1991,
1,16,The Torrents of Greed (2),02-19-1991,1991,
1,17,Mushrooms,02-26-1991,1991,
1,18,The Secret Sharers,03-12-1991,1991,
1,19,The Serpent's Tooth,03-19-1991,1991,
1,20,The Troubles,03-26-1991,1991,
1,21,Sonata For a Solo Organ,04-02-1991,1991,
1,22,The Blue Wall,06-09-1991,1991,
2,23,Confession,09-17-1991,1991,
2,24,The Wages of Love,09-24-1991,1991,
2,25,Aria,10-01-1991,1991,
2,26,Asylum,10-08-1991,1991,
2,27,God Bless the Child,10-22-1991,1991,
2,28,Misconception,10-29-1991,1991,
2,29,In Memory Of,11-05-1991,1991,
2,30,Out of Control,11-12-1991,1991,
2,31,Renunciation,11-19-1991,1991,
2,32,Heaven,11-26-1991,1991,
2,33,His Hour Upon the Stage,12-10-1991,1991,
2,34,Star Struck,01-07-1992,1992,
2,35,Severance,01-14-1992,1992,
2,36,Blood is Thicker...,02-04-1992,1992,
2,37,Trust,02-11-1992,1992,
2,38,Vengeance,02-18-1992,1992,
2,39,Sisters of Mercy,03-03-1992,1992,
2,40,Cradle to Grave,03-31-1992,1992,
2,41,The Fertile Fields,04-07-1992,1992,
2,42,Intolerance,04-14-1992,1992,
2,43,Silence,04-28-1992,1992,
2,44,The Working Stiff,05-14-1992,1992,
3,45,Skin Deep,09-23-1992,1992,
3,46,Conspiracy,09-30-1992,1992,
3,47,Forgiveness,10-07-1992,1992,
3,48,The Corporate Veil,10-14-1992,1992,
3,49,Wedded Bliss,10-21-1992,1992,
3,50,Helpless,11-04-1992,1992,
3,51,Self Defense,11-11-1992,1992,
3,52,Prince of Darkness,11-18-1992,1992,
3,53,Point of View,11-25-1992,1992,
3,54,Consultation,12-09-1992,1992,
3,55,Extended Family,01-06-1993,1993,
3,56,Right to Counsel,01-13-1993,1993,
3,57,Night and Fog,02-03-1993,1993,
3,58,Promises to Keep,02-10-1993,1993,
3,59,Mother Love,02-24-1993,1993,
3,60,Jurisdiction,03-03-1993,1993,
3,61,Conduct Unbecoming,03-10-1993,1993,
3,62,Animal Instinct,03-17-1993,1993,
3,63,Virus,04-21-1993,1993,
3,64,Securitate,05-05-1993,1993,
3,65,Manhood,05-12-1993,1993,
3,66,Benevolence,05-19-1993,1993,
4,67,Sweeps,09-15-1993,1993,
4,68,Volunteers,09-29-1993,1993,
4,69,Discord,10-06-1993,1993,
4,70,Profile,10-13-1993,1993,
4,71,Black Tie,10-20-1993,1993,
4,72,Pride and Joy,10-27-1993,1993,
4,73,Apocrypha,11-03-1993,1993,
4,74,American Dream,11-09-1993,1993,
4,75,Born Bad,11-16-1993,1993,
4,76,The Pursuit of Happiness,12-01-1993,1993,
4,77,Golden Years,01-05-1994,1994,
4,78,Snatched,01-12-1994,1994,
4,79,Breeder,01-19-1994,1994,
4,80,Censure,02-02-1994,1994,
4,81,Kids,02-09-1994,1994,
4,82,Big Bang,03-02-1994,1994,
4,83,Mayhem,03-09-1994,1994,
4,84,Wager,03-30-1994,1994,
4,85,Sanctuary,04-13-1994,1994,
4,86,Nurture,05-04-1994,1994,
4,87,Doubles,05-18-1994,1994,
4,88,Old Friends,05-25-1994,1994,
5,89,Second Opinion,09-21-1994,1994,
5,90,Coma,09-28-1994,1994,
5,91,Blue Bamboo,10-05-1994,1994,
5,92,Family Values,10-12-1994,1994,
5,93,White Rabbit,10-19-1994,1994,
5,94,Competence,11-02-1994,1994,
5,95,Precious,11-09-1994,1994,
5,96,Virtue,11-23-1994,1994,
5,97,Scoundrels,11-30-1994,1994,
5,98,House Counsel,01-04-1995,1995,
5,99,Guardian,01-11-1995,1995,
5,100,Progeny,01-25-1995,1995,
5,101,Rage,02-01-1995,1995,
5,102,Performance,02-08-1995,1995,
5,103,Seed,02-15-1995,1995,
5,104,Wannabe,03-15-1995,1995,
5,105,Act of God,03-22-1995,1995,
5,106,Privileged,04-05-1995,1995,
5,107,Cruel and Unusual,04-19-1995,1995,
5,108,Bad Faith,04-26-1995,1995,
5,109,Purple Heart,05-03-1995,1995,
5,110,Switch,05-17-1995,1995,
5,111,Pride,05-24-1995,1995,
6,112,Bitter Fruit,09-20-1995,1995,
6,113,Rebels,09-27-1995,1995,
6,114,Savages,10-18-1995,1995,
6,115,Jeopardy,11-01-1995,1995,
6,116,Hot Pursuit,11-08-1995,1995,
6,117,Paranoia,11-15-1995,1995,
6,118,Humiliation,11-22-1995,1995,
6,119,Angel,11-29-1995,1995,
6,120,Blood Libel,01-03-1996,1996,
6,121,Remand,01-10-1996,1996,
6,122,Corpus Delicti,01-17-1996,1996,
6,123,Trophy,01-31-1996,1996,
6,124,Charm City (1),02-07-1996,1996,
6,125,Custody,02-21-1996,1996,
6,126,Encore,02-28-1996,1996,
6,127,Savior,03-13-1996,1996,
6,128,Deceit,03-27-1996,1996,
6,129,Atonement,04-10-1996,1996,
6,130,Slave,04-21-1996,1996,
6,131,Girlfriends,05-01-1996,1996,
6,132,Pro Se,05-08-1996,1996,
6,133,Homesick,05-15-1996,1996,
6,134,Aftershock,05-22-1996,1996,
7,135,Causa Mortis,09-18-1996,1996,
7,136,ID,09-25-1996,1996,
7,137,Good Girl,10-07-1996,1996,
7,138,Survivor,10-23-1996,1996,
7,139,Corruption,10-30-1996,1996,
7,140,Double Blind,11-06-1996,1996,
7,141,Deadbeat,11-13-1996,1996,
7,142,Family Business,11-20-1996,1996,
7,143,Entrapment,01-08-1997,1997,
7,144,Legacy,01-15-1997,1997,
7,145,Menace,02-05-1997,1997,
7,146,Barter,02-12-1997,1997,
7,147,Matrimony,02-19-1997,1997,
7,148,Working Mom,02-26-1997,1997,
7,149,D-Girl (1),03-13-1997,1997,
7,150,Turnaround (2),03-20-1997,1997,
7,151,Showtime (3),03-27-1997,1997,
7,152,Mad Dog,04-02-1997,1997,
7,153,Double Down,04-16-1997,1997,
7,154,We Like Mike,04-30-1997,1997,
7,155,Passion,05-07-1997,1997,
7,156,Past Imperfect,05-14-1997,1997,
7,157,Terminal,05-21-1997,1997,
8,158,Thrill,09-24-1997,1997,
8,159,Denial,10-08-1997,1997,
8,160,Navy Blues,10-15-1997,1997,
8,161,Harvest,10-29-1997,1997,
8,162,Nullification,11-05-1997,1997,
8,163,"Baby, It's You (1)",11-12-1997,1997,
8,164,Blood,11-19-1997,1997,
8,165,Shadow,11-26-1997,1997,
8,166,Burned,12-10-1997,1997,
8,167,Ritual,12-17-1997,1997,
8,168,Under the Influence,01-07-1998,1998,
8,169,Expert,01-21-1998,1998,
8,170,Castoff,01-28-1998,1998,
8,171,Grief,02-04-1998,1998,
8,172,Faccia a Faccia,02-25-1998,1998,
8,173,Divorce,03-04-1998,1998,
8,174,Carrier,04-01-1998,1998,
8,175,Stalker,04-15-1998,1998,
8,176,Disappeared,04-22-1998,1998,
8,177,Burden,04-24-1998,1998,
8,178,Bad Girl,04-29-1998,1998,
8,179,Damaged,05-06-1998,1998,
8,180,Tabloid,05-13-1998,1998,
8,181,Monster,05-20-1998,1998,
9,182,Cherished,09-23-1998,1998,
9,183,DWB,10-07-1998,1998,
9,184,Bait,10-14-1998,1998,
9,185,Flight,10-21-1998,1998,
9,186,Agony,11-04-1998,1998,
9,187,Scrambled,11-11-1998,1998,
9,188,Venom,11-18-1998,1998,
9,189,Punk,11-25-1998,1998,
9,190,True North,12-09-1998,1998,
9,191,Hate,01-06-1999,1999,
9,192,Ramparts,01-13-1999,1999,
9,193,Haven,02-10-1999,1999,
9,194,Hunters,02-10-1999,1999,
9,195,Sideshow (1),02-17-1999,1999,
9,196,Disciple,02-24-1999,1999,
9,197,Harm,03-03-1999,1999,
9,198,Shield,03-24-1999,1999,
9,199,Juvenile,04-14-1999,1999,
9,200,Tabula Rasa,04-21-1999,1999,
9,201,Empire,05-05-1999,1999,
9,202,Ambitious,05-12-1999,1999,
9,203,Admissions,05-19-1999,1999,
9,204,Refuge (1),05-26-1999,1999,
9,205,Refuge (2),05-26-1999,1999,
10,206,Gunshow,09-22-1999,1999,
10,207,Killerz,09-29-1999,1999,
10,208,DNR,10-06-1999,1999,
10,209,Merger,10-13-1999,1999,
10,210,Justice,11-10-1999,1999,
10,211,Marathon,11-17-1999,1999,
10,212,Patsy,11-24-1999,1999,
10,213,Blood Money,12-01-1999,1999,
10,214,Sundown,12-15-1999,1999,
10,215,Loco Parentis,01-05-2000,2000,
10,216,Collision,01-26-2000,2000,
10,217,Mother's Milk,02-09-2000,2000,
10,218,Panic,02-16-2000,2000,
10,219,Entitled (2),02-18-2000,2000,
10,220,Fools For Love,02-23-2000,2000,
10,221,Trade This,03-01-2000,2000,
10,222,"Black, White and Blue",03-22-2000,2000,
10,223,Mega,04-05-2000,2000,
10,224,Surrender Dorothy,04-26-2000,2000,
10,225,Untitled,05-03-2000,2000,
10,226,Narcosis,05-10-2000,2000,
10,227,High & Low,05-17-2000,2000,
10,228,Stiff,05-24-2000,2000,
10,229,Vaya Con Dios,05-24-2000,2000,
11,230,Endurance,10-18-2000,2000,
11,231,Turnstile Justice,10-25-2000,2000,
11,232,Dissonance,11-01-2000,2000,
11,233,Standoff,11-08-2000,2000,
11,234,Return,11-15-2000,2000,
11,235,Burn Baby Burn,11-22-2000,2000,
11,236,Amends,11-29-2000,2000,
11,237,Thin Ice,12-20-2000,2000,
11,238,Hubris,01-10-2001,2001,
11,239,Whose Monkey is it Anyway?,01-17-2001,2001,
11,240,Sunday in the Park with Jorge,01-24-2001,2001,
11,241,Teenage Wasteland,02-07-2001,2001,
11,242,Phobia,02-14-2001,2001,
11,243,A Losing Season,02-21-2001,2001,
11,244,Swept Away - A Very Special Episode,02-28-2001,2001,
11,245,Bronx Cheer,03-14-2001,2001,
11,246,Ego,03-21-2001,2001,
11,247,White Lie,04-04-2001,2001,
11,248,Whiplash,04-18-2001,2001,
11,249,All My Children,05-02-2001,2001,
11,250,Brother's Keeper,05-09-2001,2001,
11,251,School Daze,05-16-2001,2001,
11,252,Judge Dread,05-23-2001,2001,
11,253,Deep Vote,05-23-2001,2001,
12,254,Who Let the Dogs Out?,09-26-2001,2001,
12,255,Armed Forces,10-03-2001,2001,
12,256,For Love or Money,10-10-2001,2001,
12,257,Soldier of Fortune,10-24-2001,2001,
12,258,Possession,10-31-2001,2001,
12,259,Formerly Famous,11-07-2001,2001,
12,260,Myth of Fingerprints,11-14-2001,2001,
12,261,The Fire This Time,11-21-2001,2001,
12,262,3 Dawg Night,11-28-2001,2001,
12,263,Prejudice,12-12-2001,2001,
12,264,The Collar,01-09-2002,2002,
12,265,Undercovered,01-16-2002,2002,
12,266,DR 1-102,01-30-2002,2002,
12,267,Missing,02-06-2002,2002,
12,268,Access Nation,02-27-2002,2002,
12,269,Born Again,03-06-2002,2002,
12,270,Girl Most Likely,03-27-2002,2002,
12,271,Equal Rights,04-03-2002,2002,
12,272,Slaughter,04-10-2002,2002,
12,273,Dazzled,04-24-2002,2002,
12,274,Foul Play,05-01-2002,2002,
12,275,Attorney Client,05-08-2002,2002,
12,276,Oxymoron,05-15-2002,2002,
12,277,Patriot,05-22-2002,2002,
13,278,American Jihad,10-02-2002,2002,
13,279,Shangri-La,10-09-2002,2002,
13,280,True Crime,10-16-2002,2002,
13,281,Tragedy on Rye,10-30-2002,2002,
13,282,The Ring,11-06-2002,2002,
13,283,Hitman,11-13-2002,2002,
13,284,Open Season,11-20-2002,2002,
13,285,Asterisk,11-27-2002,2002,
13,286,The Wheel,12-11-2002,2002,
13,287,Mother's Day,01-08-2003,2003,
13,288,Chosen,01-15-2003,2003,
13,289,Under God,02-05-2003,2003,
13,290,Absentia,02-12-2003,2003,
13,291,Star Crossed,02-19-2003,2003,
13,292,Bitch,02-26-2003,2003,
13,293,Suicide Box,03-26-2003,2003,
13,294,Genius,04-02-2003,2003,
13,295,Maritime,04-17-2003,2003,
13,296,Seer,04-23-2003,2003,
13,297,Kid Pro Quo,04-30-2003,2003,
13,298,House Calls,05-07-2003,2003,
13,299,Sheltered,05-14-2003,2003,
13,300,Couples,05-21-2003,2003,
13,301,Smoke,05-21-2003,2003,
14,302,Bodies,09-24-2003,2003,
14,303,Bounty,10-01-2003,2003,
14,304,Patient Zero,10-08-2003,2003,
14,305,Shrunk,10-22-2003,2003,
14,306,Blaze,10-29-2003,2003,
14,307,Identity,11-05-2003,2003,
14,308,Floater,11-12-2003,2003,
14,309,Embedded,11-19-2003,2003,
14,310,Compassion,11-26-2003,2003,
14,311,Ill-Conceived,12-03-2003,2003,
14,312,Darwinian,01-07-2004,2004,
14,313,Payback,01-14-2004,2004,
14,314,Married with Children,02-04-2004,2004,
14,315,City Hall,02-11-2004,2004,
14,316,Veteran's Day,02-18-2004,2004,
14,317,Can I Get a Witness?,02-25-2004,2004,
14,318,Hands Free,03-03-2004,2004,
14,319,Evil Breeds,03-24-2004,2004,
14,320,Nowhere Man,03-31-2004,2004,
14,321,Everybody Loves Raimondo's,04-14-2004,2004,
14,322,Vendetta,04-21-2004,2004,
14,323,Gaijin,04-28-2004,2004,
14,324,Caviar Emptor,05-12-2004,2004,
14,325,C.O.D.,05-19-2004,2004,
15,326,Paradigm,09-22-2004,2004,
15,327,The Dead Wives Club,09-22-2004,2004,
15,328,The Brotherhood,09-29-2004,2004,
15,329,Coming Down Hard,10-06-2004,2004,
15,330,Gunplay,10-20-2004,2004,
15,331,Cut,10-27-2004,2004,
15,332,Gov Love,11-10-2004,2004,
15,333,Cry Wolf,11-17-2004,2004,
15,334,All in the Family,11-24-2004,2004,
15,335,Enemy,12-01-2004,2004,
15,336,Fixed,12-08-2004,2004,
15,337,Mammon,01-05-2005,2005,
15,338,Ain't No Love,01-12-2005,2005,
15,339,Fluency,01-19-2005,2005,
15,340,Obsession,02-09-2005,2005,
15,341,The Sixth Man,02-16-2005,2005,
15,342,License to Kill,02-23-2005,2005,
15,343,Dining Out,03-02-2005,2005,
15,344,Sects,03-30-2005,2005,
15,345,Tombstone (Part 1),04-13-2005,2005,
15,346,Publish and Perish,04-20-2005,2005,
15,347,Sport of Kings,05-04-2005,2005,
15,348,In God We Trust,05-11-2005,2005,
15,349,Locomotion,05-18-2005,2005,
16,350,Red Ball,09-21-2005,2005,
16,351,Flaw (2),09-28-2005,2005,
16,352,Ghosts,10-05-2005,2005,
16,353,Age of Innocence,10-12-2005,2005,
16,354,Life Line,10-19-2005,2005,
16,355,Birthright,11-02-2005,2005,
16,356,House of Cards,11-09-2005,2005,
16,357,New York Minute,11-16-2005,2005,
16,358,Criminal Law,11-23-2005,2005,
16,359,Acid,11-30-2005,2005,
16,360,Bible Story,12-07-2005,2005,
16,361,Family Friend,01-11-2006,2006,
16,362,Heart Of Darkness,01-18-2006,2006,
16,363,Magnet,02-08-2006,2006,
16,364,Choice Of Evils,03-01-2006,2006,
16,365,Cost Of Capital,03-08-2006,2006,
16,366,"America, Inc.",03-22-2006,2006,
16,367,Thinking Makes It So,03-29-2006,2006,
16,368,Positive,04-05-2006,2006,
16,369,Kingmaker,05-03-2006,2006,
16,370,Hindsight,05-10-2006,2006,
16,371,Invaders,05-17-2006,2006,
17,372,Fame,09-22-2006,2006,
17,373,Avatar,09-29-2006,2006,
17,374,Home Sweet,10-06-2006,2006,
17,375,Fear America,10-13-2006,2006,
17,376,Public Service Homicide,10-20-2006,2006,
17,377,Profiteer,10-27-2006,2006,
17,378,In Vino Veritas,11-03-2006,2006,
17,379,Release,11-10-2006,2006,
17,380,Deadlock,11-17-2006,2006,
17,381,Corner Office,12-08-2006,2006,
17,382,Remains Of The Day,01-05-2007,2007,
17,383,Charity Case,01-12-2007,2007,
17,384,Talking Points,02-02-2007,2007,
17,385,Church,02-09-2007,2007,
17,386,Melting Pot,02-16-2007,2007,
17,387,Murder Book,02-23-2007,2007,
17,388,Good Faith,03-30-2007,2007,
17,389,Bling,04-06-2007,2007,
17,390,Fallout,04-27-2007,2007,
17,391,Captive,05-04-2007,2007,
17,392,Over Here,05-11-2007,2007,
17,393,The Family Hour,05-18-2007,2007,
18,394,Called Home,01-02-2008,2008,
18,395,Darkness,01-02-2008,2008,
18,396,Misbegotten,01-09-2008,2008,
18,397,Bottomless,01-16-2008,2008,
18,398,Driven,01-23-2008,2008,
18,399,Political Animal,01-30-2008,2008,
18,400,Quit Claim,02-06-2008,2008,
18,401,Illegal,02-13-2008,2008,
18,402,Executioner,02-20-2008,2008,
18,403,Tango,02-27-2008,2008,
18,404,Betrayal,03-05-2008,2008,
18,405,Submission,03-12-2008,2008,
18,406,Angelgrove,03-19-2008,2008,
18,407,Burn Card,04-23-2008,2008,
18,408,Bogeyman,04-30-2008,2008,
18,409,Strike,05-07-2008,2008,
18,410,Personae Non Grata,05-14-2008,2008,
18,411,Excalibur,05-21-2008,2008,
19,412,Rumble,11-05-2008,2008,
19,413,Challenged,11-12-2008,2008,
19,414,Lost Boys,11-19-2008,2008,
19,415,Falling,11-26-2008,2008,
19,416,Knock Off,12-03-2008,2008,
19,417,Sweetie,12-10-2008,2008,
19,418,Zero,12-17-2008,2008,
19,419,Chattel,01-07-2009,2009,
19,420,By Perjury,01-14-2009,2009,
19,421,Pledge,01-21-2009,2009,
19,422,Lucky Stiff,01-28-2009,2009,
19,423,Illegitimate,02-04-2009,2009,
19,424,Crimebusters,02-11-2009,2009,
19,425,Rapture,02-18-2009,2009,
19,426,Bailout,03-11-2009,2009,
19,427,Take-Out,03-18-2009,2009,
19,428,Anchors Away,03-25-2009,2009,
19,429,Promote This!,04-29-2009,2009,
19,430,All New,05-06-2009,2009,
19,431,Exchange,05-13-2009,2009,
19,432,Skate or Die,05-20-2009,2009,
19,433,The Drowned and the Saved,06-03-2009,2009,
20,434,Memo From The Dark Side,09-25-2009,2009,
20,435,Just A Girl In The World,10-02-2009,2009,
20,436,Great Satan,10-09-2009,2009,
20,437,Reality Bites,10-16-2009,2009,
20,438,Dignity,10-23-2009,2009,
20,439,Human Flesh Search Engine,10-30-2009,2009,
20,440,Boy Gone Astray,11-06-2009,2009,
20,441,Doped,11-06-2009,2009,
20,442,For The Defense,11-13-2009,2009,
20,443,Shotgun,11-20-2009,2009,
20,444,Fed  [Trailer],12-11-2009,2009,
20,445,Blackmail,01-15-2010,2010,
20,446,Steel-Eyed Death,03-01-2010,2010,
20,447,Boy On Fire,03-01-2010,2010,
20,448,Brilliant Disguise,03-08-2010,2010,
20,449,Innocence,03-15-2010,2010,
20,450,Four Cops Shot,03-22-2010,2010,
20,451,Brazil,03-29-2010,2010,
20,452,Crashers,05-03-2010,2010,
20,453,The Taxman Cometh,05-10-2010,2010,
20,454,Immortal,05-17-2010,2010,
20,455,Love Eternal,05-17-2010,2010,
20,456,Rubber Room,05-24-2010,2010,